32.84,27.80,HOT
32.86,27.92,HOT
32.98,27.74,HOT
32.89,27.01,HOT
32.84,27.73,HOT
32.68,27.70,HOT
32.61,27.81,HOT
32.62,27.86,HOT
32.62,28.00,HOT
32.62,27.86,HOT
32.64,27.79,HOT
32.57,27.72,HOT
32.71,28.39,HOT
32.71,27.97,HOT
32.73,27.94,HOT
32.80,27.71,HOT
32.80,27.88,HOT
32.64,27.74,HOT
32.62,27.58,HOT
32.62,27.83,HOT
32.64,27.85,HOT
32.62,27.62,HOT
32.69,27.89,HOT
32.71,27.81,HOT
32.55,27.72,HOT
32.57,27.88,HOT
32.43,28.21,HOT
32.50,27.65,HOT
32.55,27.91,HOT
32.44,27.98,HOT
32.37,27.89,HOT
32.37,28.13,HOT
32.34,27.98,HOT
32.37,28.13,HOT
32.28,27.72,OK
32.32,28.13,HOT
32.25,27.96,OK
32.25,28.08,OK
32.28,28.37,OK
32.43,28.24,HOT
32.32,28.21,HOT
32.36,28.40,HOT
32.46,28.04,HOT
32.52,28.21,HOT
32.48,28.24,HOT
32.43,28.23,HOT
32.68,28.09,HOT
32.55,28.12,HOT
32.55,28.32,HOT
32.52,28.04,HOT
32.57,28.08,HOT
32.53,28.18,HOT
32.41,28.11,HOT
32.46,28.26,HOT
32.50,28.02,HOT
32.55,27.97,HOT
32.44,28.14,HOT
32.52,27.87,HOT
32.55,27.98,HOT
32.59,28.04,HOT
32.57,28.11,HOT
32.48,28.03,HOT
32.53,27.96,HOT
32.59,27.93,HOT
32.52,28.03,HOT
32.64,28.16,HOT
32.68,28.02,HOT
32.69,28.34,HOT
32.77,28.10,HOT
32.75,28.04,HOT
32.69,28.16,HOT
32.80,28.02,HOT
32.64,27.99,HOT
32.84,28.27,HOT
32.62,27.89,HOT
32.66,28.60,HOT
32.73,27.88,HOT
32.77,28.20,HOT
32.75,28.26,HOT
32.69,27.92,HOT
32.78,27.73,HOT
32.66,27.91,HOT
32.69,28.12,HOT
32.68,28.31,HOT
32.61,28.10,HOT
32.78,28.36,HOT
32.86,28.13,HOT
32.80,28.11,HOT
32.82,28.05,HOT
32.78,28.10,HOT
32.89,28.42,HOT
32.82,28.24,HOT
32.78,27.91,HOT
32.82,28.16,HOT
32.91,28.06,HOT
32.87,28.27,HOT
32.89,27.97,HOT
32.84,28.36,HOT
32.91,28.04,HOT
32.78,28.06,HOT
32.93,28.02,HOT
33.00,28.21,HOT
32.91,27.94,HOT
33.18,28.16,HOT
34.14,32.95,HOT
34.20,32.84,HOT
34.14,32.99,HOT
34.11,32.84,HOT
34.16,32.74,HOT
34.18,32.72,HOT
34.23,32.41,HOT
34.11,32.45,HOT
34.13,32.64,HOT
34.14,32.73,HOT
34.21,32.96,HOT
34.20,32.94,HOT
34.30,32.64,HOT
34.34,32.73,HOT
34.34,32.78,HOT
34.29,32.80,HOT
34.32,32.57,HOT
34.36,32.77,HOT
34.39,32.85,HOT
34.45,32.56,HOT
34.55,32.82,HOT
34.50,32.78,HOT
34.57,32.75,HOT
34.66,32.81,HOT
34.57,32.47,HOT
34.61,32.74,HOT
34.82,32.63,HOT
34.81,32.71,HOT
34.77,32.47,HOT
34.79,32.77,HOT
34.84,32.63,HOT
34.89,32.68,HOT
34.82,32.46,HOT
34.81,32.30,HOT
34.73,32.27,HOT
34.77,32.47,HOT
34.88,32.49,HOT
34.86,32.36,HOT
34.84,32.28,HOT
34.89,32.33,HOT
34.88,32.38,HOT
34.95,32.21,HOT
34.88,32.28,HOT
34.95,32.25,HOT
34.89,32.11,HOT
34.89,32.15,HOT
34.81,31.94,HOT
34.97,32.13,HOT
34.97,31.94,HOT
34.93,32.05,HOT
34.93,31.96,HOT
34.93,32.17,HOT
34.91,31.99,HOT
34.86,31.81,HOT
34.91,32.05,HOT
35.04,32.09,HOT
34.89,32.32,HOT
35.06,32.31,HOT
34.95,32.26,HOT
34.86,31.89,HOT
34.93,31.90,HOT
34.82,32.01,HOT
34.98,32.25,HOT
35.04,31.89,HOT
34.98,31.93,HOT
34.93,31.82,HOT
34.97,32.04,HOT
34.95,32.01,HOT
34.98,31.89,HOT
35.00,33.47,HOT
35.07,31.91,HOT
35.13,31.94,HOT
35.06,31.95,HOT
34.93,31.92,HOT
34.88,32.01,HOT
34.89,32.32,HOT
34.98,32.28,HOT
35.00,31.34,HOT
34.89,32.09,HOT
34.93,32.25,HOT
34.97,32.13,HOT
34.91,32.10,HOT
35.04,32.11,HOT
34.89,31.86,HOT
34.98,32.34,HOT
35.04,32.01,HOT
34.97,32.03,HOT
34.95,31.93,HOT
35.07,31.88,HOT
34.95,31.75,HOT
35.38,31.67,HOT
35.36,31.73,HOT
35.43,31.67,HOT
35.41,31.52,HOT
35.29,31.52,HOT
35.43,31.58,HOT
35.52,31.53,HOT
35.43,31.47,HOT
35.38,31.42,HOT
35.43,31.48,HOT
35.47,31.45,HOT
35.45,31.79,HOT
35.43,31.42,HOT
35.43,31.53,HOT
35.59,31.23,HOT
35.36,31.47,HOT
35.47,31.47,HOT
35.43,31.36,HOT
35.61,31.35,HOT
35.47,31.51,HOT
35.38,31.18,HOT
35.47,31.55,HOT
35.56,31.58,HOT
35.59,31.47,HOT
35.57,31.22,HOT
35.66,31.52,HOT
35.59,31.18,HOT
35.66,31.32,HOT
35.63,31.54,HOT
35.63,31.13,HOT
35.57,31.25,HOT
35.65,31.49,HOT
